item,name,group,groupname,district,districtname
Q2905842,Blake Richards,Q488523,Conservative,Q16837639,Banff—Airdrie
Q71920912,Damien Kurek,Q488523,Conservative,Q16950705,Battle River—Crowfoot
Q22770987,Martin Shields,Q488523,Conservative,Q2922698,Bow River
Q71920931,Greg McLean,Q488523,Conservative,Q2933894,Calgary Centre
Q6522015,Len Webber,Q488523,Conservative,Q16850460,Calgary Confederation
Q71921024,Jasraj Hallan,Q488523,Conservative,Q16850464,Calgary Forest Lawn
Q29139192,Bob Benzen,Q488523,Conservative,Q16850469,Calgary Heritage
Q29139551,Stephanie Kusie,Q488523,Conservative,Q16850474,Calgary Midnapore
Q3311457,Michelle Rempel Garner,Q488523,Conservative,Q2933912,Calgary Nose Hill
Q22278561,Pat Kelly,Q488523,Conservative,Q16850493,Calgary Rocky Ridge
Q22278649,Tom Kmiec,Q488523,Conservative,Q16850498,Calgary Shepard
Q7364077,Ron Liepert,Q488523,Conservative,Q16954913,Calgary Signal Hill
Q55122163,George Chahal,Q138345,Liberal,Q16850507,Calgary Skyview
Q21572842,Randy Boissonnault,Q138345,Liberal,Q3048042,Edmonton Centre
Q108628440,Blake Desjarlais,Q130765,New Democratic,Q16966780,Edmonton Griesbach
Q22002979,Ziad Aboultaif,Q488523,Conservative,Q16966789,Edmonton Manning
Q3528703,Tim Uppal,Q488523,Conservative,Q16974434,Edmonton Mill Woods
Q6788847,Matt Jeneroux,Q488523,Conservative,Q16966795,Edmonton Riverbend
Q71920855,Heather McPherson,Q130765,New Democratic,Q3048071,Edmonton Strathcona
Q22006757,Kelly McCauley,Q488523,Conservative,Q3048051,Edmonton West
Q3313399,Mike Lake,Q488523,Conservative,Q16966798,Edmonton—Wetaskiwin
Q17305669,John Barlow,Q488523,Conservative,Q16977569,Foothills
Q55584744,Laila Goodridge,Q488523,Conservative,Q16977823,Fort McMurray—Cold Lake
Q2964888,Chris Warkentin,Q488523,Conservative,Q16982509,Grande Prairie—Mackenzie
Q22114010,Shannon Stubbs,Q488523,Conservative,Q3216473,Lakeland
Q22278125,Rachael Harder,Q488523,Conservative,Q3236894,Lethbridge
Q27663754,Glen Motz,Q488523,Conservative,Q767079,Medicine Hat—Cardston—Warner
Q21872800,Arnold Viersen,Q488523,Conservative,Q17092367,Peace River—Westlock
Q2905717,Blaine Calkins,Q488523,Conservative,Q16986104,Red Deer—Lacombe
Q3046379,Earl Dreeshen,Q488523,Conservative,Q16999879,Red Deer—Mountain View
Q21642507,Garnett Genuis,Q488523,Conservative,Q16986155,Sherwood Park—Fort Saskatchewan
Q21642395,Michael Cooper,Q488523,Conservative,Q16977238,St. Albert—Edmonton
Q42308688,Dane Lloyd,Q488523,Conservative,Q16977239,Sturgeon River—Parkland
Q72219314,Gerald Soroka,Q488523,Conservative,Q3572142,Yellowhead
Q3047171,Ed Fast,Q488523,Conservative,Q2820842,Abbotsford
Q21716242,Terry Beech,Q138345,Liberal,Q16954585,Burnaby North—Seymour
Q6122681,Jagmeet Singh,Q130765,New Democratic,Q16966970,Burnaby South
Q22277600,Todd Doherty,Q488523,Conservative,Q2938767,Cariboo—Prince George
Q3013003,Dan Albas,Q488523,Conservative,Q16858686,Central Okanagan—Similkameen—Nicola
Q771878,Mark Strahl,Q488523,Conservative,Q16957671,Chilliwack—Hope
Q22276751,John Aldag,Q138345,Liberal,Q16949372,Cloverdale—Langley City
Q22279147,Ron McKinnon,Q138345,Liberal,Q16951566,Coquitlam—Port Coquitlam
Q22278424,Gord Johns,Q130765,New Democratic,Q16952299,Courtenay—Alberni
Q22278956,Alistair MacGregor,Q130765,New Democratic,Q16952399,Cowichan—Malahat—Langford
Q21384927,Carla Qualtrough,Q138345,Liberal,Q3021905,Delta
