item,name,group,party,district,constituency,startdate,enddate,psid
Q100937829,Ya'ara Saks,Q138345,Liberal Party of Canada,Q3572587,York Centre,,,Q100937829-3EA7786C-3D98-426E-9D53-17601A56DB5E
Q105490025,Tako van Popta,Q488523,Conservative Party of Canada,Q16999141,Langley—Aldergrove,,,Q105490025-B46E503A-C576-467C-A33C-1326ED3AD69A
Q108619058,Bonita Zarrillo,Q130765,New Democratic Party,Q3398378,Port Moody—Coquitlam,,,Q108619058-C0B1AA24-A236-459B-8C7A-389ACA58D9A4
Q108619065,Mike Morrice,Q691730,Green Party of Canada,Q3197575,Kitchener Centre,,,Q108619065-A819E542-5662-453B-953C-9F0B35D5C173
Q108619068,Melissa Lantsman,Q488523,Conservative Party of Canada,Q3525846,Thornhill,,,Q108619068-B2FBB878-BBE9-4CF7-A99F-E05CF0F2AF28
Q108619069,Lori Idlout,Q130765,New Democratic Party,Q584337,Nunavut,,,Q108619069-74737FCB-9E74-46C8-AF9A-4FE22BA6FBD6
Q108619080,Michelle Ferreri,Q488523,Conservative Party of Canada,Q3376996,Peterborough—Kawartha,,,Q108619080-05A4990A-B983-426D-B8BC-930F360043CB
Q108628440,Blake Desjarlais,Q130765,New Democratic Party,Q16966780,Edmonton Griesbach,,,Q108628440-3E520370-A42D-4373-A8D8-C7511795D639
Q108628484,Arielle Kayabaga,Q138345,Liberal Party of Canada,Q3258933,London West,,,Q108628484-9A752667-56E2-4D8D-A6CF-A0AAB60F64E4
Q108628500,Viviane Lapointe,Q138345,Liberal Party of Canada,Q3502922,Sudbury,,,Q108628500-2807368A-76C3-4587-A37A-837D50529EDD
Q108635638,Kevin Vuong,Q327591,independent politician,Q16976871,Spadina—Fort York,2021-09-20,,Q108635638-4BC242DC-34BF-44FC-8182-4A0C003ED8FB
Q108635653,Larry Brock,Q488523,Conservative Party of Canada,Q2923856,Brantford—Brant,,,Q108635653-F2D1C5B8-2A3D-4D12-8C6C-1010FE8E7085
Q108635667,Dan Muys,Q488523,Conservative Party of Canada,Q16978840,Flamborough—Glanbrook,,,Q108635667-70C99B84-B6A6-4232-A30F-A580D6787040
Q108635673,Valerie Bradford,Q138345,Liberal Party of Canada,Q16979185,Kitchener South—Hespeler,,,Q108635673-4E76AF41-6346-4574-8F69-0D57FE6ADA9C
Q108635682,Iqwinder Gaheer,Q138345,Liberal Party of Canada,Q16977742,Mississauga—Malton,,,Q108635682-E8585DB3-AC7B-4171-832A-10A1F9A4858E
Q108635691,Sophie Chatel,Q138345,Liberal Party of Canada,Q3397734,Pontiac,,,Q108635691-2819DD8B-26B0-4EF3-A3B3-AD6554354D61
Q108638234,Brendan Hanley,Q138345,Liberal Party of Canada,Q3573173,Yukon,,,Q108638234-AB4C4F2B-C661-4AE2-8EC7-FEC6C11FE9BC
Q108650393,Fraser Tolmie,Q488523,Conservative Party of Canada,Q17037560,Moose Jaw—Lake Centre—Lanigan,,,Q108650393-1445E91E-E6CC-4F4C-9208-6310E8E7DCE5
Q108650398,Frank Caputo,Q488523,Conservative Party of Canada,Q3192457,Kamloops—Thompson—Cariboo,,,Q108650398-42E57C3F-B898-4183-839E-E5D07A21C656
Q108650405,Shelby Kramp-Neuman,Q488523,Conservative Party of Canada,Q16979735,Hastings—Lennox and Addington,,,Q108650405-B6B9A485-8B5C-41D5-B0D1-F8E3BF771CE7
Q108650880,Nathalie Sinclair-Desgagné,Q735105,Bloc Québécois,Q25246025,Terrebonne,,,Q108650880-CAA96CA3-9B3F-4C17-9108-1DDC720EF146
Q108655399,Rechie Valdez,Q138345,Liberal Party of Canada,Q3316916,Mississauga—Streetsville,,,Q108655399-CB829CDF-CA37-41C5-A036-C85D4CE836AD
Q108655429,Leah Taylor Roy,Q138345,Liberal Party of Canada,Q16949447,Aurora—Oak Ridges—Richmond Hill,,,Q108655429-9391DE3C-96E8-43B8-B6E0-E8CC27F68EA9
Q108655435,Parm Bains,Q138345,Liberal Party of Canada,Q16999753,Steveston—Richmond East,,,Q108655435-D7E04596-879C-48BB-90F7-677E6985DF80
Q108659139,Lisa Hepfner,Q138345,Liberal Party of Canada,Q3126460,Hamilton Mountain,,,Q108659139-2A2A719D-B897-4D76-A7BD-E0F1D0E4E33F
Q108659311,Jean-Denis Garon,Q735105,Bloc Québécois,Q16999883,Mirabel,,,Q108659311-47D7F849-7107-4657-BA57-5314C4C118E7
Q108671561,Wilson Miao,Q138345,Liberal Party of Canada,Q3431468,Richmond Centre,,,Q108671561-1EB3C10E-47E2-40F4-951B-372EA459B897
Q108673849,Pascale St-Onge,Q138345,Liberal Party of Canada,Q2926009,Brome—Missisquoi,,,Q108673849-27C25077-4A4D-42A6-863C-AC7EAC043DB6
Q108686167,Lisa Marie Barron,Q130765,New Democratic Party,Q16979413,Nanaimo—Ladysmith,,,Q108686167-26E62AB5-1455-4EFE-AF0C-BABBB0773CCD
Q108687439,Adam Chambers,Q488523,Conservative Party of Canada,Q3484116,Simcoe North,,,Q108687439-0F33314A-2CD2-4433-B4B3-E68DF2B2F51D
Q108687444,Anna Roberts,Q488523,Conservative Party of Canada,Q16977204,King—Vaughan,,,Q108687444-025E766B-B3FA-41DD-BDB5-6E3A45BA35EC
Q108687453,Chad Collins,Q138345,Liberal Party of Canada,Q3126448,Hamilton East—Stoney Creek,,,Q108687453-3EA38E81-F269-43E0-97F1-22204E5AA156
Q108687462,Shafqat Ali,Q138345,Liberal Party of Canada,Q2923648,Brampton Centre,,,Q108687462-D991914E-7464-477B-BA83-BC2FE9A5EBDC
Q108687472,Ryan Williams,Q488523,Conservative Party of Canada,Q16950737,Bay of Quinte,,,Q108687472-EAACFDF5-EE46-48A7-B1EB-7B162242E728
Q108687492,Stephen Ellis,Q488523,Conservative Party of Canada,Q3007524,Cumberland—Colchester,,,Q108687492-D6BEA534-9258-4761-95C4-AE5C76F2792D
Q108687503,Joanne Thompson,Q138345,Liberal Party of Canada,Q3495268,St. John's East,,,Q108687503-5A2ED9F9-0E81-4050-BBDF-B7580290F394
Q108687511,Clifford Small,Q488523,Conservative Party of Canada,Q16949517,Coast of Bays—Central—Notre Dame,,,Q108687511-B0FBD515-8563-4CF0-AC57-802804046C7B
Q108694829,Rick Perkins,Q488523,Conservative Party of Canada,Q3492274,South Shore—St. Margarets,,,Q108694829-8539FEB7-52FD-43A3-8BBF-F0F3696404D4
Q108694832,Paul Chiang,Q138345,Liberal Party of Canada,Q3294346,Markham—Unionville,,,Q108694832-815E7D4D-9033-4815-AFE4-1459AA2B93F8
Q109313943,René Villemure,Q735105,Bloc Québécois,Q3539914,Trois-Rivières,,,Q109313943-FE6CA9A5-FDE6-4F7C-90F7-CFA47456509B
Q1396130,Luc Thériault,Q735105,Bloc Québécois,Q3322478,Montcalm,,,Q1396130-023FEC2B-619D-4F21-BEF2-D70E26D6BE29
Q14946726,John Williamson,Q488523,Conservative Party of Canada,Q3345015,New Brunswick Southwest,,,Q14946726-EAEE058C-3133-45CA-A47C-D6805198BEA9
Q15054353,Mélanie Joly,Q138345,Liberal Party of Canada,Q16826254,Ahuntsic-Cartierville,,,Q15054353-45BEB6C2-C142-4C4D-9F10-BFCEC8F8F796
Q15296602,Lena Diab,Q138345,Liberal Party of Canada,Q3125968,Halifax West,,,Q15296602-A2933A24-F3A8-442C-A2AC-B8B9C44C1B62
Q15300563,Ted Falk,Q488523,Conservative Party of Canada,Q3408277,Provencher,,,Q15300563-9BB70F9C-7F13-45C6-ABB0-466A96E0E44B
Q16192760,Carol Hughes,Q130765,New Democratic Party,Q2835750,Algoma—Manitoulin—Kapuskasing,,,Q16192760-0B75F632-6CAC-478C-9CC5-EEE72C202F7F
Q16194184,Richard Martel,Q488523,Conservative Party of Canada,Q2963421,Chicoutimi—Le Fjord,,,Q16194184-0D611F1F-58C3-4AFC-BA57-B6B9B290E681
Q16211070,Ahmed Hussen,Q138345,Liberal Party of Canada,Q3572599,York South—Weston,,,Q16211070-BFFC23AD-BFAF-4A3D-A7A5-1C78A064A071
Q16215273,Mark Gerretsen,Q138345,Liberal Party of Canada,Q3197139,Kingston and the Islands,,,Q16215273-F5BDEEFB-570D-401D-9E03-12B1C95EC37A
Q1685302,Jean-Yves Duclos,Q138345,Liberal Party of Canada,Q3414825,Québec,,,Q1685302-07B26EF2-8C9A-4DA4-A3D8-10D48A082950
Q17174697,Mario Beaulieu,Q735105,Bloc Québécois,Q3211775,La Pointe-de-l'Île,,,Q17174697-B6ADE0E5-FA0C-4DCF-BF7C-60F351773BFB
Q17180515,Yvan Baker,Q138345,Liberal Party of Canada,Q3059353,Etobicoke Centre,,,Q17180515-EB22569E-34EA-4A09-8C21-728EA1BB5C57
Q17180720,Marie-France Lalonde,Q138345,Liberal Party of Canada,Q3357764,Orléans,,,Q17180720-CD21FB23-7FA5-46F5-9C79-B3689CE427CB
Q17183113,Han Dong,Q138345,Liberal Party of Canada,Q3035923,Don Valley North,,,Q17183113-E08AE058-179F-497C-A915-34D144457A3B
Q17305669,John Barlow,Q488523,Conservative Party of Canada,Q16977569,Foothills,,,Q17305669-58E2CB34-A816-4297-B72F-DC21745502B4
Q17386312,James Maloney,Q138345,Liberal Party of Canada,Q3059361,Etobicoke—Lakeshore,,,Q17386312-E4B4B110-2F8C-4866-9603-62A2AAF16987
Q1840895,Erin O'Toole,Q488523,Conservative Party of Canada,Q2390150,Durham,,,Q1840895-0449ED15-CEC0-456A-A3C4-F19E5F75B198
