item,name,group,party,district,constituency,startdate,enddate,psid
Q19876367,Michael Barrett,Q488523,Conservative Party of Canada,Q581570,Leeds—Grenville—Thousand Islands and Rideau Lakes,,,Q19876367-6EB346A9-A63E-4F31-994C-650E416DD580
Q19955984,Jaime Battiste,Q138345,Liberal Party of Canada,Q3506854,Sydney—Victoria,,,Q19955984-54D70537-7B49-4E1D-A06C-F5453DA5F224
Q19966780,Heath MacDonald,Q138345,Liberal Party of Canada,Q513772,Malpeque,,,Q19966780-CA1B85F5-1881-4FA7-85B4-8FFADCEBCE07
Q20676568,Nathaniel Erskine-Smith,Q138345,Liberal Party of Canada,Q2892787,Beaches—East York,,,Q20676568-D4BE5D71-7A58-4AF0-B7B3-99D696D1075E
Q21064615,David Lametti,Q138345,Liberal Party of Canada,Q16979970,LaSalle—Émard—Verdun,,,Q21064615-34FEED02-4908-46C4-8BDB-36DAA5B6A293
Q21066146,Ken McDonald,Q138345,Liberal Party of Canada,Q2873260,Avalon,,,Q21066146-2E196FBE-4D10-4EEA-839F-2E1854CD78FE
Q21155044,Francis Drouin,Q138345,Liberal Party of Canada,Q3108745,Glengarry—Prescott—Russell,,,Q21155044-48691434-24EC-4636-8D73-8E817A9559CA
Q21156165,Majid Jowhari,Q138345,Liberal Party of Canada,Q3431478,Richmond Hill,,,Q21156165-45891984-E944-469C-8AEB-D8DC40C5AAEF
Q21156200,Ali Ehsassi,Q138345,Liberal Party of Canada,Q3569133,Willowdale,,,Q21156200-4D576487-67B1-498C-AD01-607B230CDFB3
Q21158711,Pierre Paul-Hus,Q488523,Conservative Party of Canada,Q429015,Charlesbourg—Haute-Saint-Charles,,,Q21158711-D424E6BA-15A7-48C1-B85F-C274D4E54FBC
Q21159815,François-Philippe Champagne,Q138345,Liberal Party of Canada,Q3462967,Saint-Maurice—Champlain,,,Q21159815-48F08AF1-2618-4AB3-B981-F406FE1F6460
Q21159821,Joël Lightbound,Q138345,Liberal Party of Canada,Q3260598,Louis-Hébert,,,Q21159821-F145771C-7785-4FA0-BB58-61ADDB6A98BD
Q21159929,Rhéal Fortin,Q735105,Bloc Québécois,Q428070,Rivière-du-Nord,,,Q21159929-5DEF50C7-4E4B-4F99-A61C-1CCEC5C0AB16
Q21160212,Gary Anandasangaree,Q138345,Liberal Party of Canada,Q16979633,Scarborough—Rouge Park,,,Q21160212-83C984A3-2DD5-4CAA-B7C5-1A117BE4B695
Q21167969,Marilène Gill,Q735105,Bloc Québécois,Q3285881,Manicouagan,,,Q21167969-2AA2B941-3EF3-4931-BF20-179884DDF696
Q21174009,Andy Fillmore,Q138345,Liberal Party of Canada,Q2604650,Halifax,,,Q21174009-F865556B-802F-400D-B5F6-69AAAB78E92B
Q21175255,Sven Spengemann,Q138345,Liberal Party of Canada,Q3316911,Mississauga—Lakeshore,,,Q21175255-89DD985F-7AE7-4990-885F-E6A75DBC8053
Q21177259,Gabriel Ste-Marie,Q735105,Bloc Québécois,Q3183138,Joliette,,,Q21177259-7944A522-C64C-4838-BB46-81DA6B1DC2A0
Q21228464,Richard Cannings,Q130765,New Democratic Party,Q16999989,South Okanagan—West Kootenay,,,Q21228464-61713D4B-27AA-4EAF-AB5D-10FCF3454139
Q21266477,Steven MacKinnon,Q138345,Liberal Party of Canada,Q693762,Gatineau,,,Q21266477-7B1D703F-6848-4A56-92CB-1CE1ACED9F2E
Q21281905,Greg Fergus,Q138345,Liberal Party of Canada,Q3143028,Hull—Aylmer,,,Q21281905-3E178FBE-AE0E-4485-AF4D-CC6621D2605E
Q21284594,Xavier Barsalou-Duval,Q735105,Bloc Québécois,Q16845155,Pierre-Boucher—Les Patriotes—Verchères,,,Q21284594-E0894FF4-A6F0-4139-BF68-24A5FEE1D7F8
Q21286025,Monique Pauzé,Q735105,Bloc Québécois,Q3427232,Repentigny,,,Q21286025-6060E274-DE95-450B-8909-4991D7A44F35
Q21296174,Alain Rayes,Q488523,Conservative Party of Canada,Q3431483,Richmond—Arthabaska,,,Q21296174-D908A2B7-2E93-40F8-A58D-EB8199DA8C84
Q21336098,Diane Lebouthillier,Q138345,Liberal Party of Canada,Q3098861,Gaspésie—Les Îles-de-la-Madeleine,,,Q21336098-A753C563-2148-4DDD-953C-30C156EF5E6D
Q21336208,Marco Mendicino,Q138345,Liberal Party of Canada,Q3049206,Eglinton—Lawrence,,,Q21336208-3329DA7E-CFFB-483D-BB27-BDF4E2C1C835
Q21336246,Harjit Sajjan,Q138345,Liberal Party of Canada,Q3554462,Vancouver South,,,Q21336246-7EDD8E7E-BDEE-4A2E-A3D7-4DA73268972E
Q21356553,Marie-Claude Bibeau,Q138345,Liberal Party of Canada,Q2990889,Compton—Stanstead,,,Q21356553-A1328D7C-D63A-486B-ADC6-43FB74F13DD1
Q21384927,Carla Qualtrough,Q138345,Liberal Party of Canada,Q3021905,Delta,,,Q21384927-0B2D3421-215C-461D-8564-9E79C98EDF4E
Q21402871,Bardish Chagger,Q138345,Liberal Party of Canada,Q3566686,Waterloo,,,Q21402871-507734CC-132B-4BD4-B152-736AE2944F23
Q21572835,Chris Bittle,Q138345,Liberal Party of Canada,Q267841,St. Catharines,,,Q21572835-A35EA354-4220-44CE-8719-80E509FB200E
Q21572837,Rachel Blaney,Q130765,New Democratic Party,Q3344130,North Island—Powell River,,,Q21572837-05B44B58-7F92-49DF-BF44-0176F21D4DD6
Q21572837,Rachel Blaney,Q130765,New Democratic Party,Q3344130,North Island—Powell River,2015-10-19,,Q21572837-6A2B6087-9AD6-4262-A8AC-598FFAFF83C0
Q21572842,Randy Boissonnault,Q138345,Liberal Party of Canada,Q3048042,Edmonton Centre,,,Q21572842-3AB539E2-737B-4ED9-BD44-D1B7682BD0E5
Q21572911,Serge Cormier,Q138345,Liberal Party of Canada,Q2822240,Acadie—Bathurst,,,Q21572911-4854EFF6-8709-4FEE-B88C-478A5F43AB7D
Q21572925,Julie Dabrusin,Q138345,Liberal Party of Canada,Q3532395,Toronto—Danforth,,,Q21572925-D36D634A-956F-4028-A448-61B8CA12FEE5
Q21572945,Anju Dhillon,Q138345,Liberal Party of Canada,Q16962445,Dorval—Lachine—LaSalle,,,Q21572945-1F637E88-774A-4309-9885-2E52FC0C7DD8
Q21573510,Patty Hajdu,Q138345,Liberal Party of Canada,Q3526041,Thunder Bay—Superior North,,,Q21573510-5C9CAF94-D871-4265-9882-BE5D67D99C02
Q21642319,Daniel Blaikie,Q130765,New Democratic Party,Q3051614,Elmwood—Transcona,2015-10-19,,Q21642319-C3252FF8-0994-4C24-BE9C-46172E34B116
Q21642395,Michael Cooper,Q488523,Conservative Party of Canada,Q16977238,St. Albert—Edmonton,,,Q21642395-AFC9A563-3FB6-44A3-9AB3-685051C51B00
Q21642488,Peter Fragiskatos,Q138345,Liberal Party of Canada,Q3258929,London North Centre,,,Q21642488-9D717AC3-B5FC-4F67-AF86-28FDCF506613
Q21642492,Sean Fraser,Q138345,Liberal Party of Canada,Q3345304,Central Nova,,,Q21642492-1E75FBCD-7718-4930-9F31-8576F505F182
Q21642507,Garnett Genuis,Q488523,Conservative Party of Canada,Q16986155,Sherwood Park—Fort Saskatchewan,,,Q21642507-9B919F4C-5B5C-4F1C-8930-05E3ABE6E81E
Q21642653,Iqra Khalid,Q138345,Liberal Party of Canada,Q16976696,Mississauga—Erin Mills,,,Q21642653-949B7F2A-30E0-4D1B-805F-2D112E1DF01E
Q21642848,John Nater,Q488523,Conservative Party of Canada,Q3376177,Perth—Wellington,,,Q21642848-5C695856-2E84-4B7F-A146-4A9FE5872BDD
Q21713409,René Arseneault,Q138345,Liberal Party of Canada,Q3275454,Madawaska—Restigouche,,,Q21713409-4E8CE68E-BDE6-4296-AC1F-25005785724A
Q21714336,Ginette Petitpas Taylor,Q138345,Liberal Party of Canada,Q3320478,Moncton—Riverview—Dieppe,,,Q21714336-B1FC892C-1E51-40A1-86D5-65F75CC42A9A
Q21714343,Wayne Long,Q138345,Liberal Party of Canada,Q16979314,Saint John—Rothesay,,,Q21714343-2E761DF0-5C99-4FEA-9561-9110E1CEF70F
Q21716242,Terry Beech,Q138345,Liberal Party of Canada,Q16954585,Burnaby North—Seymour,,,Q21716242-262CE553-6288-4137-ADF6-0D282D251C2A
Q21716260,Karina Gould,Q138345,Liberal Party of Canada,Q774538,Burlington,,,Q21716260-BC892F80-99C1-4A60-BBAE-7939E43E2870
Q21716310,Jonathan Wilkinson,Q138345,Liberal Party of Canada,Q3344177,North Vancouver,,,Q21716310-84F1E453-BF60-4AFB-8961-6DE9B515A8B6
Q21872800,Arnold Viersen,Q488523,Conservative Party of Canada,Q17092367,Peace River—Westlock,,,Q21872800-D134C99B-44E4-41BA-B534-9C02F1C8BB6B
Q21891834,Luc Berthold,Q488523,Conservative Party of Canada,Q3332796,Mégantic—L'Érable,,,Q21891834-376CA89D-AEE1-42FF-805D-AA977FC04176
Q22002979,Ziad Aboultaif,Q488523,Conservative Party of Canada,Q16966789,Edmonton Manning,,,Q22002979-7958B046-EF95-47C1-BDBE-4DEF058C2120
Q22003182,Mel Arnold,Q488523,Conservative Party of Canada,Q512649,North Okanagan—Shuswap,,,Q22003182-59C03823-D856-4577-B85F-F309DB6EE3D6
Q22003456,John Brassard,Q488523,Conservative Party of Canada,Q16950434,Barrie—Innisfil,,,Q22003456-A13AD7E1-14CA-4114-884B-303D14F9531A
Q22004363,Darren Fisher,Q138345,Liberal Party of Canada,Q3016601,Dartmouth—Cole Harbour,,,Q22004363-ACC0108D-7BD8-41D5-86CA-4A3AE1B749B4
Q22004772,Ken Hardie,Q138345,Liberal Party of Canada,Q3073517,Fleetwood—Port Kells,,,Q22004772-2ADB3E1F-F34F-448F-92F4-204080A00076
Q22005483,Gudie Hutchings,Q138345,Liberal Party of Canada,Q16990299,Long Range Mountains,,,Q22005483-FDD3BB07-CE9C-473D-9D97-024E63D174A2
Q22006190,Patricia Lattanzio,Q138345,Liberal Party of Canada,Q3462835,Saint-Léonard—Saint-Michel,,,Q22006190-CFB3BE23-0C7E-4C8F-A3AF-2D451769394E
Q22006757,Kelly McCauley,Q488523,Conservative Party of Canada,Q3048051,Edmonton West,,,Q22006757-6F98CF38-016B-4CCC-A800-F7B053DD95AF
Q22080796,Brenda Shanahan,Q138345,Liberal Party of Canada,Q16961180,Châteauguay—Lacolle,,,Q22080796-42C4A8A9-E445-4C87-9716-5A0637690A4D
Q22080839,Stéphane Lauzon,Q138345,Liberal Party of Canada,Q16833613,Argenteuil—La Petite-Nation,,,Q22080839-80825027-A7E1-4614-93DF-AA816CB570E1
Q22080847,Angelo Iacono,Q138345,Liberal Party of Canada,Q2834924,Alfred-Pellan,,,Q22080847-E232961E-F1F1-4021-91FF-5A0A1D68F397
Q22086204,Julie Dzerowicz,Q138345,Liberal Party of Canada,Q3017300,Davenport,,,Q22086204-73B693A6-326C-4CAC-A91B-C86F55DFF755
Q22096449,Terry Sheehan,Q138345,Liberal Party of Canada,Q3474220,Sault Ste. Marie,,,Q22096449-02DD7050-384F-427E-9E01-B316DA56E033
Q22096924,Ruby Sahota,Q138345,Liberal Party of Canada,Q16953394,Brampton North,,,Q22096924-F4DE3BDE-D891-42D0-8185-6625BB4CF405
Q22097102,Francesco Sorbara,Q138345,Liberal Party of Canada,Q16976825,Vaughan—Woodbridge,,,Q22097102-D94EDEFD-88E0-4CA5-994E-A559878FD0EC
Q22114010,Shannon Stubbs,Q488523,Conservative Party of Canada,Q3216473,Lakeland,,,Q22114010-BF050FED-52A5-4FF5-8A9F-55079F5424F8
Q22116843,Cathay Wagantall,Q488523,Conservative Party of Canada,Q3572613,Yorkton—Melville,,,Q22116843-8E236769-0933-4A92-8CE8-7F29A8D8AAC1
Q22121196,Peter Schiefke,Q138345,Liberal Party of Canada,Q3555066,Vaudreuil—Soulanges,,,Q22121196-056FDB5A-2CAE-4073-9986-28A7AB8AD455
Q22276751,John Aldag,Q138345,Liberal Party of Canada,Q16949372,Cloverdale—Langley City,,,Q22276751-BBB94D44-972B-46AB-8A66-57E0644881DC
Q22276872,Chandra Arya,Q138345,Liberal Party of Canada,Q3338266,Nepean,,,Q22276872-5B9D2B57-22EE-4FF6-8000-4337353AE1F3
Q22276923,Vance Badawey,Q138345,Liberal Party of Canada,Q3339428,Niagara Centre,,,Q22276923-9327C749-E936-4020-88D5-6D661D9E19D0
Q22277334,Shaun Chen,Q138345,Liberal Party of Canada,Q16976145,Scarborough North,,,Q22277334-0C9ED797-457F-42BE-B79D-D59BD69B617F
Q22277495,Pam Damoff,Q138345,Liberal Party of Canada,Q17092100,Oakville North—Burlington,,,Q22277495-63DC9046-A804-4B37-B5D6-7778A19E7DC4
Q22277600,Todd Doherty,Q488523,Conservative Party of Canada,Q2938767,Cariboo—Prince George,,,Q22277600-C66200AA-2455-4C2A-8B2D-CC30B399EA8D
Q22277949,Marilyn Gladu,Q488523,Conservative Party of Canada,Q3473661,Sarnia—Lambton,,,Q22277949-8AE97714-0F9D-4D52-A3B5-8D1B965FB86B
Q22277957,Joël Godin,Q488523,Conservative Party of Canada,Q3399336,Portneuf—Jacques-Cartier,,,Q22277957-4ADA7F92-1633-45DB-B0E9-460AAC61884E
Q22278125,Rachael Thomas,Q488523,Conservative Party of Canada,Q3236894,Lethbridge,,,Q22278125-5E432B21-AB7D-4A61-AFAF-F8B0C4E30CD0
Q22278424,Gord Johns,Q130765,New Democratic Party,Q16952299,Courtenay—Alberni,,,Q22278424-BD3E5114-E9DA-4571-8AE0-4C4C1CEF2DAC
Q22278561,Pat Kelly,Q488523,Conservative Party of Canada,Q16850493,Calgary Rocky Ridge,,,Q22278561-213BB1CC-6C6B-4268-8D16-979F9454806D
Q22278589,Kamal Khera,Q138345,Liberal Party of Canada,Q2923649,Brampton West,,,Q22278589-80EF72AE-E4FB-4097-9885-29F71E86E64A
Q22278594,Fayçal El-Khoury,Q138345,Liberal Party of Canada,Q3219763,Laval—Les Îles,,,Q22278594-13F11FAF-1E02-4CD7-B94D-0293E327B1C2
Q22278635,Robert Kitchen,Q488523,Conservative Party of Canada,Q3491962,Souris—Moose Mountain,,,Q22278635-032703CD-4223-4C7E-8512-27552BB24D68
Q22278649,Tom Kmiec,Q488523,Conservative Party of Canada,Q16850498,Calgary Shepard,,,Q22278649-B6F53D5F-6613-4821-84A0-82B559850A6B
Q22278896,Lloyd Longfield,Q138345,Liberal Party of Canada,Q3118872,Guelph,,,Q22278896-1B6C4386-931D-4B22-9E70-EDF0F5A0C429
Q22278956,Alistair MacGregor,Q130765,New Democratic Party,Q16952399,Cowichan—Malahat—Langford,,,Q22278956-5C74DE27-87BF-48BB-9F05-DDCC1A3C8461
Q22279113,Bryan May,Q138345,Liberal Party of Canada,Q2934691,Cambridge,,,Q22279113-B133898B-2F08-4E79-B552-804F30AD0113
Q22279147,Ron McKinnon,Q138345,Liberal Party of Canada,Q16951566,Coquitlam—Port Coquitlam,,,Q22279147-48D29162-8FDA-4252-A195-68C238AB5277
Q22279214,Marc Miller,Q138345,Liberal Party of Canada,Q16977201,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,,,Q22279214-AF31B3BA-B375-46F3-B03B-A211A0E62CB5
Q22279457,Jennifer O'Connell,Q138345,Liberal Party of Canada,Q16977690,Pickering—Uxbridge,,,Q22279457-3CC2756A-26C6-4B11-B7F5-80A53B1A6B53
Q22280066,Yves Robillard,Q138345,Liberal Party of Canada,Q3287683,Marc-Aurèle-Fortin,,,Q22280066-58F0BA29-C75C-40ED-B7A8-C258115F116A
Q22280112,Sherry Romanado,Q138345,Liberal Party of Canada,Q16979600,Longueuil—Charles-LeMoyne,,,Q22280112-3772B324-B9A1-443E-8E96-BDC00D790B4C
Q22280268,Darrell Samson,Q138345,Liberal Party of Canada,Q3460955,Sackville—Preston—Chezzetcook,,,Q22280268-6FF8DBEB-51F9-411F-8E8A-72C5ED899E70
Q22280309,Randeep Sarai,Q138345,Liberal Party of Canada,Q16977199,Surrey Centre,,,Q22280309-789DCD3C-36EF-4977-897D-CEE81FBAB343
Q22280358,Jamie Schmale,Q488523,Conservative Party of Canada,Q3125962,Haliburton—Kawartha Lakes—Brock,,,Q22280358-93CF2851-5314-4BE5-95E6-3F6AD1D30AFF
Q22282329,Anita Vandenbeld,Q138345,Liberal Party of Canada,Q3357746,Ottawa West—Nepean,,,Q22282329-07E543E7-7835-4018-8FC0-F8FC0E1D99B0
Q22282385,Salma Zahid,Q138345,Liberal Party of Canada,Q3475163,Scarborough Centre,,,Q22282385-F291A4F6-E420-49F3-A344-81823BFAE074
Q22442799,Marc Serré,Q138345,Liberal Party of Canada,Q3339824,Nickel Belt,,,Q22442799-CF5EACB0-F5F9-4F36-BEA3-711528652AFE
Q22704261,Karen Vecchio,Q488523,Conservative Party of Canada,Q3050861,Elgin—Middlesex—London,,,Q22704261-A43DFFE6-C09C-4D86-8A16-AE3DFB36DF18
Q22704264,Arif Virani,Q138345,Liberal Party of Canada,Q3365449,Parkdale—High Park,,,Q22704264-1A99CBF0-DFD9-4827-A5B9-2CD2D41BFCE5
Q22770985,Filomena Tassi,Q138345,Liberal Party of Canada,Q16979665,Hamilton West—Ancaster—Dundas,,,Q22770985-DFD8EFDE-B24F-4381-B331-55F5D13AB0B0
Q22770987,Martin Shields,Q488523,Conservative Party of Canada,Q2922698,Bow River,,,Q22770987-65A2F957-568D-468A-BE41-3A1D28E9D3BC
Q22770988,Sonia Sidhu,Q138345,Liberal Party of Canada,Q16966835,Brampton South,,,Q22770988-74D1FFCB-9022-4B01-AE93-3676ED0919A7
Q22770989,Kevin Waugh,Q488523,Conservative Party of Canada,Q16990152,Saskatoon—Grasswood,,,Q22770989-35505A17-CC4B-4172-B134-204804CDB2AE
Q2403422,Carolyn Bennett,Q138345,Liberal Party of Canada,Q3495297,Toronto—St. Paul's,,,Q2403422-1F867712-50D0-4472-89A9-D1E2C25D68CC
Q27663754,Glen Motz,Q488523,Conservative Party of Canada,Q767079,Medicine Hat—Cardston—Warner,,,Q27663754-41C28B80-F855-4B4F-B552-E8BF751D4738
Q2830317,Alain Therrien,Q735105,Bloc Québécois,Q3217787,La Prairie,,,Q2830317-0E0F2485-1F48-4420-BFED-06A8023683C8
Q2833301,Alexandra Mendès,Q138345,Liberal Party of Canada,Q16847474,Brossard—Saint-Lambert,,,Q2833301-5F43BD49-A2E5-4999-A31B-855F52C70642
