psid,item,itemLabel,start
Q3022947-0637ab25-4f11-b304-b1df-8e6633f04454,Q3022947,Denis Trudel,2019-10-21T00:00:00Z
Q3263709-3b5842fe-4bc9-e6d3-c01b-bb3660c54d20,Q3263709,Louise Chabot,2019-10-21T00:00:00Z
Q30302772-af82b461-4f91-7634-6825-bdc17ea5375d,Q30302772,Simon-Pierre Savard-Tremblay,2019-10-21T00:00:00Z
Q71973951-0bbdeb3c-4efc-6766-1bd9-6369f03d0543,Q71973951,Kristina Michaud,2019-10-21T00:00:00Z
Q72194331-dc6170c4-4931-6dde-70bf-401eb04bd35e,Q72194331,Alexis Brunelle-Duceppe,2019-10-21T00:00:00Z
Q72219386-64b10119-4c3a-0910-bb5f-b700b7574876,Q72219386,Luc Desilets,2019-10-21T00:00:00Z
Q72219741-d3cc1cad-4e00-1324-ed7b-0e60b51fdf6d,Q72219741,Yves Perron,2019-10-21T00:00:00Z
Q72012003-04bb9069-4dee-fb14-0a2e-5ef7f050c439,Q72012003,Sameer Zuberi,2019-10-21T00:00:00Z
Q72219413-5bdafc68-4a2a-c9b2-c050-e120a724c708,Q72219413,Martin Champoux,2019-10-21T00:00:00Z
Q72219707-63ac66f9-4cc9-25f7-7520-6c6f3fef4b24,Q72219707,Marie-Hélène Gaudreau,2019-10-21T00:00:00Z
Q72177965-29f5f46f-47fc-f7ef-33cf-c9325b6c5b51,Q72177965,Sébastien Lemire,2019-10-21T00:00:00Z
Q71921009-d22af487-4e4d-7b82-54d8-f9364f90dd3e,Q71921009,Jenica Atwin,2019-10-21T00:00:00Z
Q72012161-b4235b90-4d24-0db5-b1e7-191734571d7f,Q72012161,Andréanne Larouche,2019-10-21T00:00:00Z
Q72091608-71075d39-4d11-5c74-2f9d-731b08770f2c,Q72091608,Caroline Desbiens,2019-10-21T00:00:00Z
Q3573412-40ffa787-4193-7dde-04ab-730801d7ce2d,Q3573412,Yves-François Blanchet,2019-10-21T00:00:00Z
Q22006190-c1d3298e-4b14-2dd6-7bd2-6d67df1d2a77,Q22006190,Patricia Lattanzio,2019-10-21T00:00:00Z
Q72219274-4943ff9f-46ac-56eb-200d-057d2bc1efe5,Q72219274,Christine Normandin,2019-10-21T00:00:00Z
Q72219402-7cd23b8f-48a2-3db2-4930-2f8f7ed4232b,Q72219402,Mario Simard,2019-10-21T00:00:00Z
Q72219417-88bdc5ea-4b51-6f34-b0d0-13baeb129fe3,Q72219417,Maxime Blanchette-Joncas,2019-10-21T00:00:00Z
Q460720-072e4a54-f2c8-4ac1-bc89-1fd03600e5ad,Q460720,Lyne Bessette,2019-10-21T00:00:00Z
Q71920855-0f954372-49ec-32e7-e538-edaa7ad07d9d,Q71920855,Heather McPherson,2019-10-21T00:00:00Z
Q71920975-9b8156fd-4bda-d567-5940-21947210fdeb,Q71920975,Richard Lehoux,2019-10-21T00:00:00Z
Q72093411-b040fed6-4203-c305-084e-d1461489ff62,Q72093411,Sylvie Bérubé,2019-10-21T00:00:00Z
Q72219699-a2ff3a6a-4ec7-876a-bceb-a791a8152753,Q72219699,Louise Charbonneau,2019-10-21T00:00:00Z
Q72012015-6dd76377-4049-6de7-2ec4-e3fa15a50787,Q72012015,Soraya Martinez Ferrada,2019-10-21T00:00:00Z
Q2830317-e37774d7-4c04-8d25-c069-82bb37d914c0,Q2830317,Alain Therrien,2019-10-21T00:00:00Z
Q3499230-92d1401c-4944-1994-e2c6-c57ee13f4eab,Q3499230,Steven Guilbeault,2019-10-21T00:00:00Z
Q71942357-33dfb4e3-46c1-0c35-f290-faf486df7b61,Q71942357,Lindsay Mathyssen,2019-10-21T00:00:00Z
Q71929780-65f859d9-4f40-96d0-4442-344764bfef80,Q71929780,Ryan Turnbull,2019-10-21T00:00:00Z
Q71929797-c145d421-46e6-6b02-9eea-0b393bc09401,Q71929797,Marcus Powlowski,2019-10-21T00:00:00Z
Q6122681-56c8459c-4241-b49f-79dc-0896f3daa0b2,Q6122681,Jagmeet Singh,2019-03-17T00:00:00Z
Q61881929-84b1b021-4d26-bded-f1be-d9c44ca23a7d,Q61881929,Scot Davidson,2019-02-25T00:00:00Z
Q3022854-b494913c-49f7-76ae-83dd-d46614e2c742,Q3022854,Denis Paradis,2015-10-19T00:00:00Z
Q6211627-a94ab211-45ea-89ca-55ed-7038252db057,Q6211627,Joe Oliver,2011-05-30T00:00:00Z
Q2846724-4F35264E-0027-42C4-8FA1-551A49C04266,Q2846724,Andrew Scheer,2004-06-28T00:00:00Z
Q740733-5D1714B5-43F3-48E0-917E-BFDC47151FCA,Q740733,Allan MacEachen,1953-08-10T00:00:00Z
